email_id,domain,open_rate,click_rate,has_spammy_words,num_links,html_email,past_bounce,spam_trap_flag,bounce_likelihood
user0@protonmail.com,businessmail.biz,0.35,0.52,0,1,0,0,0,0
user1@yahoo.com,yahoo.com,0.25,0.18,0,0,0,0,0,0
user2@businessmail.biz,gmail.com,0.42,0.27,0,1,0,0,0,0
user3@gmail.com,outlook.com,0.16,0.07,0,1,1,0,0,0
user4@outlook.com,mail.ru,0.55,0.13,0,1,1,0,0,0
user5@outlook.com,tempmail.net,0.11,0.08,0,3,0,0,0,0
user6@protonmail.com,protonmail.com,0.51,0.01,0,5,0,0,0,0
user7@tempmail.net,gmail.com,0.18,0.08,0,1,0,0,0,0
user8@tempmail.net,businessmail.biz,0.2,0.11,0,1,1,0,0,0
user9@yahoo.com,protonmail.com,0.38,0.01,0,2,0,0,0,0
user10@yahoo.com,tempmail.net,0.54,0.24,0,0,1,0,0,0
user11@outlook.com,businessmail.biz,0.08,0.04,0,2,1,0,0,0
user12@outlook.com,outlook.com,0.36,0.26,1,1,0,0,0,0
user13@protonmail.com,yahoo.com,0.27,0.13,0,1,1,0,0,0
user14@businessmail.biz,yahoo.com,0.13,0.04,1,1,0,0,0,0
user15@protonmail.com,tempmail.net,0.35,0.08,0,1,0,0,0,0
user16@protonmail.com,tempmail.net,0.13,0.05,0,2,0,0,0,0
user17@mail.ru,outlook.com,0.33,0.01,0,3,1,0,0,0
user18@tempmail.net,tempmail.net,0.17,0.03,0,3,0,0,0,0
user19@outlook.com,gmail.com,0.21,0.0,0,2,0,0,0,0
user20@gmail.com,businessmail.biz,0.26,0.36,0,1,0,0,0,0
user21@yahoo.com,outlook.com,0.39,0.0,1,1,1,0,0,0
user22@tempmail.net,tempmail.net,0.15,0.35,0,2,0,0,0,0
user23@tempmail.net,outlook.com,0.31,0.5,0,3,0,0,0,0
user24@businessmail.biz,tempmail.net,0.2,0.05,0,2,0,0,0,0
user25@businessmail.biz,gmail.com,0.18,0.3,0,3,0,0,0,0
user26@tempmail.net,tempmail.net,0.37,0.11,0,1,1,1,0,1
user27@businessmail.biz,businessmail.biz,0.2,0.06,0,1,0,0,0,0
user28@yahoo.com,mail.ru,0.19,0.22,0,1,0,0,0,0
user29@yahoo.com,businessmail.biz,0.28,0.21,0,0,1,0,0,0
user30@mail.ru,yahoo.com,0.1,0.06,0,2,0,1,0,1
user31@protonmail.com,protonmail.com,0.21,0.33,0,4,0,0,0,0
user32@tempmail.net,gmail.com,0.31,0.07,0,1,0,1,0,1
user33@protonmail.com,outlook.com,0.04,0.09,1,1,0,0,0,0
user34@protonmail.com,tempmail.net,0.12,0.18,0,2,0,0,0,0
user35@protonmail.com,yahoo.com,0.21,0.19,1,1,1,0,0,0
user36@protonmail.com,yahoo.com,0.36,0.33,0,3,0,0,0,0
user37@outlook.com,mail.ru,0.65,0.65,1,3,0,0,0,0
user38@gmail.com,tempmail.net,0.16,0.11,0,3,1,0,0,0
user39@businessmail.biz,tempmail.net,0.07,0.2,0,1,0,0,0,0
user40@mail.ru,mail.ru,0.08,0.12,0,3,0,0,0,0
user41@businessmail.biz,protonmail.com,0.17,0.03,0,0,1,0,0,0
user42@protonmail.com,tempmail.net,0.54,0.0,0,2,0,0,0,0
user43@mail.ru,tempmail.net,0.06,0.15,0,0,1,0,0,0
user44@businessmail.biz,yahoo.com,0.24,0.03,0,2,0,0,0,0
user45@yahoo.com,protonmail.com,0.31,0.15,1,3,0,0,0,0
user46@outlook.com,gmail.com,0.15,0.01,0,1,1,0,0,0
user47@protonmail.com,protonmail.com,0.39,0.07,0,2,1,0,0,0
user48@outlook.com,yahoo.com,0.48,0.04,0,1,0,0,0,0
user49@protonmail.com,yahoo.com,0.1,0.03,0,3,1,0,0,0
user50@mail.ru,businessmail.biz,0.37,0.01,0,3,0,0,0,0
user51@mail.ru,tempmail.net,0.3,0.18,0,3,1,1,0,1
user52@yahoo.com,protonmail.com,0.22,0.05,0,2,1,0,0,0
user53@mail.ru,gmail.com,0.16,0.14,0,1,1,1,0,1
user54@protonmail.com,yahoo.com,0.46,0.11,0,4,1,0,0,0
user55@outlook.com,businessmail.biz,0.1,0.06,0,1,1,0,0,0
user56@gmail.com,mail.ru,0.18,0.03,0,4,0,0,0,0
user57@protonmail.com,mail.ru,0.34,0.2,1,5,0,0,0,0
user58@outlook.com,gmail.com,0.27,0.09,1,4,0,0,0,0
user59@gmail.com,yahoo.com,0.44,0.24,0,1,1,0,0,0
user60@gmail.com,protonmail.com,0.13,0.06,0,3,0,0,0,0
user61@protonmail.com,protonmail.com,0.4,0.25,0,0,1,0,0,0
user62@gmail.com,gmail.com,0.32,0.03,0,1,0,0,0,0
user63@gmail.com,businessmail.biz,0.29,0.19,0,3,0,0,0,0
user64@protonmail.com,mail.ru,0.11,0.04,0,2,0,0,0,0
user65@businessmail.biz,mail.ru,0.34,0.09,0,2,1,0,0,0
user66@tempmail.net,yahoo.com,0.17,0.07,0,2,1,0,0,0
user67@tempmail.net,protonmail.com,0.8,0.0,1,3,1,0,0,0
user68@tempmail.net,businessmail.biz,0.13,0.45,0,1,0,1,0,1
user69@outlook.com,outlook.com,0.13,0.04,0,1,0,1,0,1
user70@yahoo.com,outlook.com,0.34,0.01,0,2,0,1,0,1
user71@mail.ru,gmail.com,0.03,0.11,0,1,0,0,0,0
user72@businessmail.biz,protonmail.com,0.16,0.07,1,3,0,0,0,0
user73@businessmail.biz,tempmail.net,0.26,0.04,0,3,0,0,0,0
user74@mail.ru,yahoo.com,0.25,0.06,1,1,0,0,0,0
user75@protonmail.com,gmail.com,0.07,0.16,1,4,0,0,0,0
user76@protonmail.com,mail.ru,0.46,0.16,0,1,0,0,0,0
